From To DistanceTotal[km] DistanceInside[km] DistanceOutside[km] Duration[s]
C25 C141 6.084 6.084 0 00:03:39
C25 C142 34.703 4.011 30.692 00:27:15
C25 C143 29.266 9.937 19.329 00:16:07
C25 C144 24.355 10.098 14.257 00:15:08
C25 C145 1.972 1.972 0 00:01:18
C25 C146 26.383 9.298 17.085 00:13:59
C25 C147 29.4 10.098 19.302 00:17:38
C25 C148 5.699 5.062 0.637 00:03:59
C25 C149 16.374 1.769 14.605 00:10:30
C25 C150 18.404 10.098 8.306 00:11:03
C25 C151 8.25 8.25 0 00:05:26
C25 C152 34.559 9.937 24.622 00:19:34
C25 C153 31.495 4.011 27.484 00:17:37
C25 C154 8.716 8.716 0 00:05:14
C25 C155 14.809 14.809 0 00:09:00
C25 C156 15.67 15.67 0 00:09:24
C25 C157 9.018 9.018 0 00:05:34
C25 C158 17.143 9.144 7.999 00:10:41
C25 C159 14.758 4.011 10.747 00:09:12
C25 C160 5.146 5.146 0 00:03:10
C25 C161 15.074 9.144 5.93 00:09:04
C25 C162 14.849 14.849 0 00:08:55
C25 C163 25.27 1.769 23.501 00:14:44
C25 C164 12.61 1.769 10.841 00:07:34
C25 C165 20.521 4.011 16.51 00:12:59
C25 C166 7.501 7.501 0 00:04:33
C25 C167 16.305 11.268 5.037 00:09:26
C25 C168 19.843 6.658 13.185 00:11:43
C25 C169 25.893 9.937 15.956 00:14:45
C25 C170 24.847 11.392 13.455 00:17:39
C25 C171 17.771 6.658 11.113 00:10:28
C25 C172 24.423 12.207 12.216 00:15:52
C25 C173 8.737 1.769 6.968 00:05:53
C25 C174 4.276 4.276 0 00:02:34
C25 C175 6.87 6.87 0 00:04:22
C25 C176 11.274 11.274 0 00:06:49
C25 C177 16.465 16.465 0 00:10:01
C25 C178 29.812 9.937 19.875 00:16:17
C25 C179 10.329 10.329 0 00:06:24
C25 C180 28.045 1.769 26.276 00:14:45
C25 C181 25.917 1.769 24.148 00:15:41
C25 C182 13.355 1.769 11.586 00:08:01
C25 C183 27.029 10.098 16.931 00:16:30
C25 C184 26.938 1.769 25.169 00:16:29
C25 C185 15.911 4.011 11.9 00:09:30
C25 C186 12.47 4.011 8.459 00:12:27
C25 C187 22.366 1.769 20.597 00:13:06
C25 C188 27.994 12.207 15.787 00:16:45
C25 C189 24.75 8.601 16.149 00:15:19
C25 C190 20.891 20.891 0 00:13:31
C25 C191 21.694 21.694 0 00:13:32
C25 C192 6.983 6.983 0 00:04:17
C26 D0 34.606 10.664 23.942 00:18:09
C26 C1 32.61 14.703 17.907 00:17:32
C26 C2 47.126 14.405 32.721 00:23:30
C26 C3 22.032 5.356 16.676 00:12:02
C26 C4 27.287 9.134 18.153 00:14:51
C26 C5 31.415 13.508 17.907 00:16:40
C26 C6 29.588 11.681 17.907 00:15:25
C26 C7 38.183 23.204 14.979 00:20:53
C26 C8 48.78 12.898 35.882 00:24:39
C26 C9 38.185 10.664 27.521 00:21:03
C26 C10 29.646 11.739 17.907 00:15:33
C26 C11 53.357 0 53.357 00:27:21
C26 C12 32.688 15.385 17.303 00:17:26
C26 C13 56.402 18.72 37.682 00:32:46
C26 C14 21.87 0 21.87 00:12:15
C26 C15 45.739 18.72 27.019 00:25:37
C26 C16 48.558 0 48.558 00:26:22
C26 C17 35.147 10.664 24.483 00:18:12
C26 C18 34.667 19.688 14.979 00:19:10
C26 C19 19.499 0 19.499 00:12:01
C26 C20 40.28 0 40.28 00:21:14
C26 C21 39.188 10.664 28.524 00:19:55
C26 C22 23.004 0 23.004 00:13:17
C26 C23 23.842 0 23.842 00:14:10
C26 C24 36.209 0 36.209 00:17:57
C26 C25 30.483 15.504 14.979 00:16:33
C26 C26 0 0 0 00:00:00
C26 C27 33.385 15.478 17.907 00:17:57
C26 C28 53.542 0 53.542 00:30:10
C26 C29 47.616 18.72 28.896 00:26:14
C26 C30 27.194 9.891 17.303 00:14:07
C26 C31 45.133 10.664 34.469 00:23:51
C26 C32 31.115 12.379 18.736 00:16:33
C26 C33 18.954 0 18.954 00:11:03
C26 C34 6.93 0 6.93 00:04:10
C26 C35 37.793 17.626 20.167 00:20:41
C26 C36 26.927 8.774 18.153 00:14:21
C26 C37 24.507 0 24.507 00:14:11
C26 C38 40.517 19.71 20.807 00:22:25
C26 C39 29.308 11.155 18.153 00:15:03
C26 C40 39.168 10.664 28.504 00:19:45
C26 C41 48.145 18.72 29.425 00:26:33
C26 C42 47.376 0 47.376 00:25:46
C26 C43 42.191 0 42.191 00:22:09
C26 C44 41.097 0 41.097 00:21:43
C26 C45 15.132 0 15.132 00:08:43
C26 C46 35.797 20.818 14.979 00:19:53
C26 C47 40.055 0 40.055 00:21:06
C26 C48 33.508 15.601 17.907 00:17:53
C26 C49 27.929 0 27.929 00:14:27
C26 C50 31.287 10.745 20.542 00:17:17
C26 C51 29.278 11.371 17.907 00:15:14
C26 C52 33.813 10.664 23.149 00:17:58
C26 C53 26.915 9.008 17.907 00:13:48
C26 C54 38.652 17.916 20.736 00:21:15
C26 C55 32.797 14.89 17.907 00:17:20
C26 C56 2.037 0 2.037 00:01:35
C26 C57 7.48 0 7.48 00:04:29
C26 C58 29.154 11.851 17.303 00:15:15
C26 C59 31.924 10.664 21.26 00:16:33
C26 C60 2.568 0 2.568 00:01:34
C26 C61 50.387 12.898 37.489 00:25:02
C26 C62 42.216 18.387 23.829 00:23:15
C26 C63 12.549 0 12.549 00:07:01
C26 C64 48.851 10.664 38.187 00:25:11
C26 C65 30.103 12.129 17.974 00:15:44
C26 C66 51.449 0 51.449 00:26:41
C26 C67 10.061 0 10.061 00:06:02
C26 C68 36.76 0 36.76 00:19:20
C26 C69 45.942 10.664 35.278 00:23:08
C26 C70 22.396 0 22.396 00:13:13
C26 C71 51.771 0 51.771 00:26:46
C26 C72 54.624 18.387 36.237 00:31:03
C26 C73 22.972 0 22.972 00:13:22
C26 C74 39.656 15.957 23.699 00:21:28
C26 C75 33.535 15.628 17.907 00:17:58
C26 C76 42.884 10.664 32.22 00:21:53
C26 C77 42.752 18.72 24.032 00:23:19
C26 C78 45.501 10.664 34.837 00:24:08
C26 C79 45.281 0 45.281 00:24:02
C26 C80 32.956 10.664 22.292 00:17:09
C26 C81 47.871 18.72 29.151 00:26:33
C26 C82 30.335 10.744 19.591 00:16:21
C26 C83 51.48 18.72 32.76 00:28:47
C26 C84 38.571 11.489 27.082 00:19:49
C26 C85 48.67 11.606 37.064 00:25:05
C26 C86 4.437 0 4.437 00:02:39
C26 C87 36.223 18.92 17.303 00:19:28
C26 C88 27.854 0 27.854 00:15:49
C26 C89 40.25 10.664 29.586 00:24:01
C26 C90 31.223 16.244 14.979 00:16:57
C26 C91 56.005 18.387 37.618 00:31:29
C26 C92 50.383 18.72 31.663 00:27:43
C26 C93 31.627 13.72 17.907 00:16:38
C26 C94 41.855 18.387 23.468 00:23:20
C26 C95 52.844 0 52.844 00:27:09
C26 C96 33.458 18.479 14.979 00:18:03
C26 C97 37.853 20.55 17.303 00:21:54
C26 C98 47.854 10.664 37.19 00:24:58
C26 C99 57.354 18.72 38.634 00:32:46
C26 C100 32.827 14.92 17.907 00:17:21
C26 C101 36.753 19.45 17.303 00:19:57
C26 C102 56.05 18.387 37.663 00:31:38
C26 C103 15.108 0 15.108 00:09:05
C26 C104 32.142 17.163 14.979 00:17:48
C26 C105 42.437 0 42.437 00:21:47
C26 C106 32.861 15.558 17.303 00:17:33
C26 C107 27.101 9.194 17.907 00:13:55
C26 C108 35.182 16.841 18.341 00:19:07
C26 C109 31.504 10.745 20.759 00:16:56
C26 C110 17.584 2.755 14.829 00:09:18
C26 C111 25.698 0 25.698 00:15:03
C26 C112 34.327 16.42 17.907 00:18:31
C26 C113 34.327 16.42 17.907 00:18:31
C26 C114 34.319 15.978 18.341 00:18:56
C26 C115 32.672 0 32.672 00:16:51
C26 C116 18.988 0 18.988 00:10:52
C26 C117 27.336 10.033 17.303 00:14:05
C26 C118 42.029 10.664 31.365 00:21:22
C26 C119 22.749 6.62 16.129 00:11:58
C26 C120 23.138 0 23.138 00:13:31
C26 C121 61.509 18.72 42.789 00:34:34
C26 C122 35.987 10.664 25.323 00:18:16
C26 C123 37.194 0 37.194 00:19:49
C26 C124 42.689 18.72 23.969 00:23:16
C26 C125 42.014 15.957 26.057 00:23:15
C26 C126 36.587 10.664 25.923 00:21:01
C26 C127 51.17 12.898 38.272 00:25:24
C26 C128 30.166 0 30.166 00:16:21
C26 C129 42.989 10.664 32.325 00:21:40
C26 C130 12.286 0 12.286 00:07:39
C26 C131 54.107 0 54.107 00:27:46
C26 C132 35.883 0 35.883 00:18:11
C26 C133 44.52 10.664 33.856 00:23:24
C26 C134 39.332 0 39.332 00:20:53
C26 C135 22.749 6.62 16.129 00:11:58
C26 C136 52.961 10.664 42.297 00:27:54
C26 C137 35.38 10.664 24.716 00:17:54
C26 C138 27.736 10.433 17.303 00:14:18
C26 C139 25.241 0 25.241 00:15:05
C26 C140 26.476 11.497 14.979 00:13:51
C26 C141 27.062 12.083 14.979 00:14:13
C26 C142 54.8 0 54.8 00:36:56
C26 C143 4.602 0 4.602 00:02:59
C26 C144 42.919 19.481 23.438 00:24:08
C26 C145 30.33 15.351 14.979 00:16:34
C26 C146 18.031 0 18.031 00:11:15
C26 C147 37.075 0 37.075 00:18:45
C26 C148 37.783 12.926 24.857 00:20:14
C26 C149 42.085 10.664 31.421 00:22:05
C26 C150 40.952 19.71 21.242 00:22:29
C26 C151 31.806 13.899 17.907 00:17:14
C26 C152 7.156 0 7.156 00:04:43
C26 C153 48.887 0 48.887 00:27:47
C26 C154 35.612 17.705 17.907 00:19:02
C26 C155 35.517 18.214 17.303 00:19:03
C26 C156 27.924 10.621 17.303 00:14:25
C26 C157 29.255 11.348 17.907 00:15:18
C26 C158 42.572 18.72 23.852 00:23:34
C26 C159 38.912 10.664 28.248 00:21:07
C26 C160 25.101 10.122 14.979 00:13:13
C26 C161 41.246 18.72 22.526 00:22:24
C26 C162 32.331 14.424 17.907 00:17:03
C26 C163 46.327 0 46.327 00:24:41
C26 C164 40.49 10.664 29.826 00:20:27
C26 C165 42.146 0 42.146 00:23:04
C26 C166 30.196 12.289 17.907 00:15:50
C26 C167 23.828 8.083 15.745 00:12:34
C26 C168 15.631 0 15.631 00:08:52
C26 C169 5.832 0 5.832 00:03:29
C26 C170 50.082 18.72 31.362 00:30:26
C26 C171 14.443 0 14.443 00:08:09
C26 C172 49.945 18.72 31.225 00:30:11
C26 C173 35.498 10.664 24.834 00:18:21
C26 C174 31.969 16.99 14.979 00:17:09
C26 C175 29.768 11.794 17.974 00:15:45
C26 C176 32.183 14.276 17.907 00:17:01
C26 C177 28.719 11.416 17.303 00:15:02
C26 C178 4.475 0 4.475 00:02:41
C26 C179 25.474 7.567 17.907 00:12:57
C26 C180 49.232 0 49.232 00:25:15
C26 C181 52.584 10.664 41.92 00:27:32
C26 C182 39.213 10.664 28.549 00:20:12
C26 C183 40.694 0 40.694 00:20:19
C26 C184 53.119 10.664 42.455 00:28:26
C26 C185 37.857 0 37.857 00:19:47
C26 C186 33.459 0 33.459 00:22:51
C26 C187 48.077 10.664 37.413 00:24:42
C26 C188 54.591 18.72 35.871 00:30:57
C26 C189 12.458 0 12.458 00:07:28
C26 C190 38.728 21.425 17.303 00:21:53
C26 C191 36.46 19.157 17.303 00:20:03
C26 C192 32.063 14.156 17.907 00:16:59
C27 D0 22.678 16.529 6.149 00:13:32
C27 C1 1.106 1.106 0 00:01:19
C27 C2 22.371 20.679 1.692 00:13:30
C27 C3 13.375 13.375 0 00:08:32
C27 C4 15.159 15.159 0 00:09:43
C27 C5 3.557 3.557 0 00:02:28
C27 C6 7.398 7.398 0 00:04:37
C27 C7 16.262 16.262 0 00:09:56
C27 C8 19.153 9.757 9.396 00:12:02
C27 C9 26.302 16.529 9.773 00:16:38
C27 C10 3.967 3.967 0 00:03:02
C27 C11 42.129 17.668 24.461 00:23:11
C27 C12 4.852 4.852 0 00:03:20
C27 C13 26.411 1.325 25.086 00:17:19
C27 C14 14.476 9.805 4.671 00:09:26
C27 C15 14.587 1.325 13.262 00:09:29
C27 C16 37.46 17.668 19.792 00:22:45
C27 C17 17.613 16.117 1.496 00:10:50
C27 C18 12.576 12.576 0 00:07:44
C27 C19 17.23 10.534 6.696 00:11:13
C27 C20 29.164 16.529 12.635 00:17:36
C27 C21 20.615 17.668 2.947 00:12:59
C27 C22 24.865 17.367 7.498 00:15:06
C27 C23 20.693 17.48 3.213 00:12:36
C27 C24 20.864 6.429 14.435 00:12:17
C27 C25 13.049 13.049 0 00:08:08
C27 C26 33.393 15.718 17.675 00:19:08
C27 C27 0 0 0 00:00:00
C27 C28 42.314 17.668 24.646 00:26:00
C27 C29 16.464 1.325 15.139 00:10:05
C27 C30 7.036 7.036 0 00:04:38
C27 C31 28.522 17.668 10.854 00:18:06
C27 C32 8.833 6.429 2.404 00:05:46
C27 C33 20.668 12.994 7.674 00:12:11
C27 C34 32.584 15.718 16.866 00:19:21
C27 C35 5.763 3.503 2.26 00:04:08
C27 C36 16.552 16.552 0 00:10:07
C27 C37 26.81 14.493 12.317 00:16:16
C27 C38 9.503 1.325 8.178 00:06:05
C27 C39 17.82 17.82 0 00:10:58
C27 C40 21.127 17.668 3.459 00:13:09
C27 C41 18.463 1.325 17.138 00:11:17
C27 C42 37.044 17.668 19.376 00:22:50
C27 C43 14.255 10.176 4.079 00:09:44
C27 C44 30.701 16.529 14.172 00:18:32
C27 C45 25.555 17.669 7.886 00:15:40
C27 C46 14.5 14.5 0 00:09:19
C27 C47 30.222 16.529 13.693 00:18:15
C27 C48 6.138 6.138 0 00:03:59
C27 C49 16.488 6.429 10.059 00:10:10
C27 C50 19.351 16.431 2.92 00:12:57
C27 C51 7.088 7.088 0 00:04:27
C27 C52 22.224 16.529 5.695 00:13:23
C27 C53 6.334 6.334 0 00:04:21
C27 C54 12.586 9.757 2.829 00:08:08
C27 C55 1.857 1.857 0 00:01:18
C27 C56 32.523 15.718 16.805 00:18:36
C27 C57 30.26 15.718 14.542 00:18:04
C27 C58 10.394 7.275 3.119 00:06:35
C27 C59 20.281 13.62 6.661 00:12:32
C27 C60 31.863 15.718 16.145 00:18:14
C27 C61 17.848 1.325 16.523 00:10:59
C27 C62 15.228 1.325 13.903 00:09:36
C27 C63 24.712 17.669 7.043 00:15:01
C27 C64 26.476 21.669 4.807 00:16:04
C27 C65 8.232 8.232 0 00:05:07
C27 C66 40.221 17.668 22.553 00:22:31
C27 C67 26.422 9.805 16.617 00:16:06
C27 C68 27.653 16.529 11.124 00:16:55
C27 C69 30.19 17.668 12.522 00:17:53
C27 C70 30.42 12.994 17.426 00:16:45
C27 C71 40.543 17.668 22.875 00:22:36
C27 C72 28.179 1.325 26.854 00:17:29
C27 C73 25.245 17.367 7.878 00:15:26
C27 C74 7.782 1.325 6.457 00:04:53
C27 C75 2.034 2.034 0 00:01:43
C27 C76 24.963 17.668 7.295 00:15:21
C27 C77 14.068 1.325 12.743 00:08:39
C27 C78 29.438 17.668 11.77 00:18:37
C27 C79 37.702 16.529 21.173 00:22:01
C27 C80 20.345 17.6 2.745 00:12:50
C27 C81 16.719 1.325 15.394 00:10:24
C27 C82 16.744 16.032 0.712 00:10:48
C27 C83 21.489 1.325 20.164 00:13:20
C27 C84 16.944 16.944 0 00:10:32
C27 C85 25.549 21.669 3.88 00:15:31
C27 C86 31.053 15.718 15.335 00:17:43
C27 C87 6.315 6.315 0 00:04:11
C27 C88 27.013 17.176 9.837 00:17:11
C27 C89 27.592 17.668 9.924 00:19:16
C27 C90 9.987 9.987 0 00:06:25
C27 C91 29.56 1.325 28.235 00:17:55
C27 C92 19.231 1.325 17.906 00:11:34
C27 C93 1.94 1.94 0 00:01:45
C27 C94 14.183 1.325 12.858 00:09:02
C27 C95 41.616 17.668 23.948 00:22:59
C27 C96 11.829 11.829 0 00:07:28
C27 C97 8.093 8.093 0 00:06:42
C27 C98 31.411 17.668 13.743 00:19:13
C27 C99 27.363 1.325 26.038 00:17:19
C27 C100 7.074 7.074 0 00:04:25
C27 C101 5.495 5.495 0 00:03:46
C27 C102 29.605 1.325 28.28 00:18:04
C27 C103 20.368 9.805 10.563 00:12:39
C27 C104 10.845 10.845 0 00:07:13
C27 C105 34.858 16.529 18.329 00:19:46
C27 C106 6.253 6.253 0 00:04:11
C27 C107 7.192 7.192 0 00:04:30
C27 C108 14.11 14.11 0 00:08:39
C27 C109 19.568 16.431 3.137 00:12:37
C27 C110 16.741 16.741 0 00:10:50
C27 C111 21.668 17.48 4.188 00:13:25
C27 C112 9.2 9.2 0 00:06:04
C27 C113 9.2 9.2 0 00:06:04
C27 C114 16.46 16.46 0 00:10:38
C27 C115 10.979 6.429 4.55 00:07:06
C27 C116 20.213 12.994 7.219 00:11:55
C27 C117 9.576 9.576 0 00:06:01
C27 C118 24.108 17.668 6.44 00:14:50
C27 C119 13.655 9.805 3.85 00:09:11
C27 C120 15.399 6.429 8.97 00:09:30
C27 C121 31.305 1.325 29.98 00:19:23
C27 C122 22.5 17.769 4.731 00:13:53
C27 C123 28.049 16.529 11.52 00:17:23
C27 C124 14.321 1.325 12.996 00:08:46
C27 C125 10.14 1.325 8.815 00:06:40
C27 C126 23.1 17.769 5.331 00:16:37
C27 C127 18.631 1.325 17.306 00:11:21
C27 C128 29.263 17.176 12.087 00:17:42
C27 C129 23.026 19.24 3.786 00:14:11
C27 C130 25.362 9.805 15.557 00:15:39
C27 C131 42.846 17.668 25.178 00:24:25
C27 C132 28.304 16.529 11.775 00:16:10
C27 C133 28.457 17.668 10.789 00:17:53
C27 C134 28.216 16.529 11.687 00:17:15
C27 C135 13.655 9.805 3.85 00:09:11
C27 C136 35.336 21.669 13.667 00:21:39
C27 C137 20.135 17.769 2.366 00:12:27
C27 C138 10.73 10.73 0 00:06:41
C27 C139 12.914 6.429 6.485 00:08:00
C27 C140 12.056 12.056 0 00:07:25
C27 C141 9.702 9.702 0 00:06:00
C27 C142 41.311 17.668 23.643 00:33:40
C27 C143 32.622 15.718 16.904 00:18:49
C27 C144 12.326 7.157 5.169 00:09:59
C27 C145 12.274 12.274 0 00:07:33
C27 C146 18.564 10.534 8.03 00:11:48
C27 C147 18.008 10.176 7.832 00:11:39
C27 C148 15.869 15.869 0 00:10:15
C27 C149 26.333 17.668 8.665 00:16:50
C27 C150 9.938 1.325 8.613 00:06:09
C27 C151 5.347 5.347 0 00:03:52
C27 C152 37.915 15.718 22.197 00:22:17
C27 C153 43.269 17.668 25.601 00:24:26
C27 C154 9.546 9.546 0 00:05:54
C27 C155 4.034 4.034 0 00:02:49
C27 C156 11.522 11.522 0 00:07:10
C27 C157 4.769 4.769 0 00:03:08
C27 C158 13.188 1.325 11.863 00:08:30
C27 C159 27.276 16.529 10.747 00:16:51
C27 C160 11.469 11.469 0 00:07:09
C27 C161 12.537 1.325 11.212 00:07:44
C27 C162 3.007 3.007 0 00:02:03
C27 C163 35.229 17.668 17.561 00:21:04
C27 C164 22.569 17.668 4.901 00:13:55
C27 C165 33.039 16.529 16.51 00:20:39
C27 C166 6.66 6.66 0 00:04:14
C27 C167 19.204 15.718 3.486 00:12:08
C27 C168 24.694 17.569 7.125 00:15:10
C27 C169 29.249 15.718 13.531 00:17:27
C27 C170 18.93 1.325 17.605 00:14:18
C27 C171 22.604 17.569 5.035 00:13:55
C27 C172 18.793 1.325 17.468 00:14:02
C27 C173 20.529 17.6 2.929 00:13:08
C27 C174 10.607 10.607 0 00:06:33
C27 C175 7.565 7.565 0 00:04:59
C27 C176 2.139 2.139 0 00:01:31
C27 C177 10.975 10.975 0 00:06:59
C27 C178 33.168 15.718 17.45 00:19:00
C27 C179 8.251 8.251 0 00:05:08
C27 C180 38.004 17.668 20.336 00:21:05
C27 C181 35.876 17.668 18.208 00:22:01
C27 C182 23.314 17.668 5.646 00:14:22
C27 C183 15.637 10.176 5.461 00:10:30
C27 C184 36.897 17.668 19.229 00:22:49
C27 C185 28.429 16.529 11.9 00:17:10
C27 C186 24.988 16.529 8.459 00:20:06
C27 C187 32.325 17.668 14.657 00:19:27
C27 C188 24.6 1.325 23.275 00:15:31
C27 C189 23.861 9.805 14.056 00:15:02
C27 C190 8.699 8.699 0 00:06:31
C27 C191 9.852 9.852 0 00:06:41
C27 C192 7.475 7.475 0 00:04:45
C28 D0 23.472 0 23.472 00:15:31
C28 C1 43.796 18.997 24.799 00:26:34
C28 C2 31.905 3.741 28.164 00:18:52
C28 C3 39.63 8.064 31.566 00:23:09
C28 C4 35.119 5.771 29.348 00:20:32
C28 C5 39.515 14.716 24.799 00:23:51
C28 C6 36.7 11.901 24.799 00:22:01
C28 C7 30.732 5.927 24.805 00:18:27
C28 C8 33.559 2.234 31.325 00:20:01
C28 C9 20.155 0 20.155 00:14:22
C28 C10 42.42 17.621 24.799 00:25:33
C28 C11 0.694 0 0.694 00:03:00
C28 C12 46.24 21.441 24.799 00:27:54
C28 C13 47.414 0 47.414 00:27:37
C28 C14 47.179 9.087 38.092 00:26:29
C28 C15 43.07 2.234 40.836 00:24:23
C28 C16 8.499 0 8.499 00:08:02
C28 C17 27.222 0 27.222 00:16:26
C28 C18 32.284 7.479 24.805 00:19:23
C28 C19 51.411 9.087 42.324 00:28:09
C28 C20 15.657 0 15.657 00:11:59
C28 C21 23.588 0 23.588 00:14:46
C28 C22 32.156 0 32.156 00:20:14
C28 C23 31.766 0 31.766 00:19:58
C28 C24 66.157 9.087 57.07 00:34:26
C28 C25 32.495 6.225 26.27 00:19:30
C28 C26 54.88 0 54.88 00:31:05
C28 C27 42.394 17.595 24.799 00:25:37
C28 C28 0 0 0 00:00:00
C28 C29 47.753 2.234 45.519 00:27:07
C28 C30 45.581 20.782 24.799 00:27:29
C28 C31 22.976 0 22.976 00:16:53
C28 C32 49.309 22.885 26.424 00:29:48
C28 C33 37.009 0 37.009 00:23:05
C28 C34 48.529 0 48.529 00:28:26
C28 C35 42.799 14.114 28.685 00:26:14
C28 C36 34.759 5.411 29.348 00:20:02
C28 C37 28.899 0 28.899 00:20:50
C28 C38 46.784 14.114 32.67 00:28:16
C28 C39 30.24 0.878 29.362 00:17:54
C28 C40 23.947 0 23.947 00:15:08
C28 C41 38.676 2.234 36.442 00:22:11
C28 C42 8.849 0 8.849 00:08:16
C28 C43 54.462 14.114 40.348 00:33:01
C28 C44 14.12 0 14.12 00:11:04
C28 C45 44.807 0 44.807 00:27:46
C28 C46 29.095 4.29 24.805 00:17:37
C28 C47 15.165 0 15.165 00:11:42
C28 C48 37.83 13.031 24.799 00:22:50
C28 C49 61.779 9.087 52.692 00:32:44
C28 C50 26.831 0 26.831 00:18:34
C28 C51 37.208 12.409 24.799 00:22:21
C28 C52 24.042 0 24.042 00:15:47
C28 C53 41.057 16.258 24.799 00:24:38
C28 C54 34.482 3.872 30.61 00:21:06
C28 C55 41.434 16.635 24.799 00:24:51
C28 C56 52.851 0 52.851 00:30:21
C28 C57 47.225 0 47.225 00:26:58
C28 C58 47.68 22.881 24.799 00:28:42
C28 C59 26.15 0 26.15 00:17:09
C28 C60 51.953 0 51.953 00:29:50
C28 C61 35.166 2.234 32.932 00:20:25
C28 C62 33.625 3.872 29.753 00:20:25
C28 C63 44.708 0 44.708 00:25:28
C28 C64 26.869 0 26.869 00:18:48
C28 C65 36.261 11.462 24.799 00:21:45
C28 C66 3.262 0 3.262 00:04:32
C28 C67 50.14 0 50.14 00:28:10
C28 C68 18.809 0 18.809 00:14:11
C28 C69 30.453 0 30.453 00:17:48
C28 C70 29.49 0 29.49 00:20:51
C28 C71 3.906 0 3.906 00:04:55
C28 C72 34.738 0 34.738 00:23:49
C28 C73 32.536 0 32.536 00:20:34
C28 C74 42.11 3.872 38.238 00:25:29
C28 C75 43.752 18.953 24.799 00:26:26
C28 C76 23.22 0 23.22 00:16:31
C28 C77 38.145 2.234 35.911 00:22:06
C28 C78 21.941 0 21.941 00:16:07
C28 C79 9.904 0 9.904 00:09:35
C28 C80 27.008 0 27.008 00:16:40
C28 C81 41.629 2.234 39.395 00:23:37
C28 C82 29.195 0 29.195 00:18:15
C28 C83 41.382 2.234 39.148 00:24:17
C28 C84 25.984 1.179 24.805 00:15:36
C28 C85 28.855 0 28.855 00:19:53
C28 C86 50.428 0 50.428 00:28:54
C28 C87 48.033 23.234 24.799 00:28:54
C28 C88 26.255 0 26.255 00:18:24
C28 C89 18.226 0 18.226 00:14:47
C28 C90 33.491 8.692 24.799 00:20:37
C28 C91 35.917 0 35.917 00:24:08
C28 C92 41.488 2.234 39.254 00:23:11
C28 C93 41.762 16.963 24.799 00:25:03
C28 C94 35.192 3.872 31.32 00:21:32
C28 C95 0.698 0 0.698 00:03:00
C28 C96 31.19 6.391 24.799 00:18:42
C28 C97 49.811 25.012 24.799 00:31:25
C28 C98 20.634 0 20.634 00:14:57
C28 C99 46.155 0 46.155 00:26:39
C28 C100 35.397 10.598 24.799 00:21:14
C28 C101 45.403 20.604 24.799 00:27:32
C28 C102 35.962 0 35.962 00:24:17
C28 C103 52.555 9.087 43.468 00:28:40
C28 C104 32.955 8.156 24.799 00:20:18
C28 C105 12.424 0 12.424 00:10:09
C28 C106 47.641 22.842 24.799 00:28:45
C28 C107 40.847 16.048 24.799 00:24:30
C28 C108 29.296 4.491 24.805 00:17:35
C28 C109 27.048 0 27.048 00:18:13
C28 C110 43.198 10.796 32.402 00:24:03
C28 C111 30.259 0 30.259 00:19:06
C28 C112 34.044 9.245 24.799 00:20:34
C28 C113 34.044 9.245 24.799 00:20:34
C28 C114 29.56 4.755 24.805 00:18:05
C28 C115 51.653 22.304 29.349 00:31:15
C28 C116 37.037 0 37.037 00:23:04
C28 C117 45.846 21.047 24.799 00:27:31
C28 C118 22.365 0 22.365 00:16:00
C28 C119 46.191 12.639 33.552 00:26:12
C28 C120 55.005 9.087 45.918 00:29:12
C28 C121 41.967 0 41.967 00:27:45
C28 C122 21.599 0 21.599 00:14:33
C28 C123 19.269 0 19.269 00:14:42
C28 C124 36.533 2.234 34.299 00:21:08
C28 C125 43.444 3.872 39.572 00:26:49
C28 C126 22.097 0 22.097 00:16:54
C28 C127 35.949 2.234 33.715 00:20:47
C28 C128 22.816 0 22.816 00:16:16
C28 C129 27.768 0 27.768 00:17:02
C28 C130 57.549 9.087 48.462 00:31:39
C28 C131 5.018 0 5.018 00:06:19
C28 C132 26.351 0 26.351 00:17:44
C28 C133 21.534 0 21.534 00:15:56
C28 C134 19.823 0 19.823 00:13:30
C28 C135 46.191 12.639 33.552 00:26:12
C28 C136 22.722 0 22.722 00:16:47
C28 C137 24.335 0 24.335 00:15:07
C28 C138 46.884 22.085 24.799 00:28:07
C28 C139 49.702 22.005 27.697 00:29:49
C28 C140 36.364 10.094 26.27 00:21:50
C28 C141 37.255 11.813 25.442 00:22:22
C28 C142 8.967 0 8.967 00:18:18
C28 C143 49.853 0 49.853 00:28:41
C28 C144 53.17 14.114 39.056 00:32:25
C28 C145 34.083 8.641 25.442 00:20:28
C28 C146 54.303 9.087 45.216 00:29:30
C28 C147 58.215 14.114 44.101 00:34:56
C28 C148 27.759 2.954 24.805 00:17:17
C28 C149 21.483 0 21.483 00:16:01
C28 C150 47.219 14.114 33.105 00:28:20
C28 C151 37.446 12.647 24.799 00:23:00
C28 C152 54.103 0 54.103 00:30:37
C28 C153 6.768 0 6.768 00:06:58
C28 C154 34.131 9.326 24.805 00:20:29
C28 C155 44.132 19.333 24.799 00:26:36
C28 C156 47.072 22.273 24.799 00:28:14
C28 C157 38.564 13.765 24.799 00:23:17
C28 C158 40.865 2.234 38.631 00:23:52
C28 C159 19.704 0 19.704 00:13:34
C28 C160 37.402 11.132 26.27 00:22:32
C28 C161 39.963 2.234 37.729 00:23:11
